0.04;0.17;0.13;0.12;0.01;0.00;0.13;0.06;0.01
0.02;0.08;0.05;0.08;0.01;0.48;0.05;0.05;0.04
0.05;0.17;0.25;0.17;0.01;0.10;0.20;0.09;0.05
0.04;0.12;0.12;0.13;0.00;0.06;0.12;0.04;0.05
0.03;0.12;0.12;0.13;0.00;0.06;0.12;0.03;0.05
0.11;0.33;0.29;0.31;0.01;0.35;0.29;0.12;0.15
0.11;0.32;0.30;0.32;0.01;0.26;0.31;0.13;0.15
0.32;1.00;1.00;1.00;0.02;0.52;0.96;0.37;0.41
0.08;0.10;0.06;0.13;0.08;0.65;0.24;0.29;0.07
0.10;0.08;0.01;0.10;0.01;0.10;0.02;0.36;0.10
0.04;0.10;0.15;0.15;0.24;0.06;0.64;0.28;0.06
0.09;0.10;0.05;0.10;0.10;0.10;0.27;0.29;0.08
0.17;0.15;0.08;0.12;0.09;0.16;0.30;0.33;0.10
0.09;0.10;0.06;0.11;0.10;0.10;0.27;0.27;0.08
1.00;0.11;0.07;0.11;0.08;0.16;0.23;0.23;1.00
0.41;0.40;0.20;0.37;0.32;0.58;1.00;1.00;0.31
0.03;0.18;0.01;0.23;0.10;0.65;0.19;0.34;0.02
0.03;0.17;0.01;0.19;0.08;0.61;0.24;0.38;0.02
0.03;0.18;0.01;0.19;0.08;0.65;0.26;0.39;0.02
0.07;0.27;0.02;0.23;0.20;0.00;0.31;0.47;0.04
0.07;0.28;0.02;0.24;0.29;0.00;0.35;0.50;0.04
0.03;0.16;0.02;0.17;0.19;0.00;0.27;0.47;0.03
0.04;0.34;0.03;0.27;0.39;0.77;0.43;0.55;0.06
0.03;0.18;0.02;0.20;0.43;0.00;0.32;0.51;0.04
0.00;0.11;0.03;0.14;0.78;0.84;0.03;0.27;0.00
0.00;0.12;0.02;0.16;0.48;1.00;0.12;0.31;0.00
0.00;0.12;0.03;0.16;1.00;0.97;0.04;0.29;0.00
0.05;0.16;0.01;0.10;0.08;0.39;0.23;0.12;0.00
0.00;0.16;0.01;0.11;0.10;0.45;0.16;0.13;0.00
0.00;0.17;0.02;0.13;0.11;0.48;0.21;0.15;0.00
0.00;0.19;0.02;0.14;0.15;0.52;0.20;0.22;0.00
0.00;0.20;0.02;0.14;0.16;0.55;0.21;0.25;0.00
0.08;0.34;0.02;0.33;0.78;0.00;0.52;0.48;0.05
0.10;0.24;0.01;0.17;0.12;0.00;0.24;0.53;0.07
0.15;0.27;0.02;0.21;0.23;0.00;0.30;0.63;0.08
0.09;0.28;0.03;0.21;0.14;0.00;0.39;0.36;0.06
0.10;0.31;0.04;0.25;0.18;0.00;0.46;0.37;0.06
0.07;0.32;0.04;0.28;0.27;0.00;0.37;0.59;0.04
0.08;0.34;0.05;0.32;0.31;0.00;0.39;0.63;0.05
0.10;0.35;0.05;0.33;0.33;0.00;0.41;0.64;0.06
