0.0077;0.5175;0.0844;0.0551;0.0361;0.0090;0.1256;0.0302;0.0255;0;0;1
0.0289;0.2308;0.1344;0.0385;0.0194;0.0599;0.0587;0.0168;0.0426;0;0;1
0.0778;0.7063;1.0000;0.4704;0.1000;0.0479;0.7200;0.6897;0.0804;1;0;0
0.3913;0.5612;0.0350;0.0703;0.1278;0.0102;0.4373;0.3753;0.8000;0;1;1
0.0022;0.5140;0.0494;0.0506;0.0278;0.0066;0.0560;0.0122;0.0005;0;1;0
0.0035;0.3811;0.0413;0.0538;0.0233;0.0048;0.0669;0.0243;0.0260;0;0;1
0.0018;0.3199;0.0697;0.2554;0.1111;0.0162;0.3787;0.0874;0.0166;0;0;0
0.0178;0.6731;0.1188;0.0990;0.0417;0.0180;0.1467;0.0446;0.0404;0;0;1
0.0287;0.5385;0.0163;0.1013;0.0944;0.0000;0.9680;0.5132;0.0396;0;1;1
0.0665;0.7308;0.3344;0.1559;0.0944;0.0120;0.7413;0.4260;0.0485;1;0;0
0.0513;0.5420;0.0497;0.1196;0.0333;0.0072;0.5813;0.3915;0.0404;1;0;0
0.0112;0.5000;0.2281;0.1895;0.1000;0.0036;0.1520;0.1284;0.0410;0;0;1
0.0027;0.1958;0.0425;0.0806;0.0517;0.0030;0.3120;0.1542;0.0111;0;0;0
0.0058;0.4930;0.0797;0.4884;0.1722;0.0275;0.6000;0.2089;0.0277;0;0;0
0.0378;1.0000;0.2072;0.2115;0.1000;0.0359;0.2160;0.0568;0.0447;0;0;1
0.0011;0.2150;0.0375;0.1263;0.0444;0.0431;0.5493;0.2170;0.0447;0;0;0
0.0007;0.1224;0.0156;0.0130;0.0061;0.0048;0.0272;0.0049;0.0005;0;1;0
0.0129;0.5507;0.1253;0.2384;0.0833;0.0024;0.3011;0.1142;0.0351;0;0;1
0.0300;0.5157;0.0313;0.0829;0.1167;0.0054;0.4400;0.4422;0.0349;0;1;1
0.0922;0.5332;0.7219;0.1864;0.1722;0.0126;0.7893;0.4970;0.0443;1;0;0
0.0204;0.5717;0.0166;0.1089;0.1944;0.0054;0.6000;0.4929;0.0430;0;1;1
0.0352;0.9598;0.2781;0.2599;0.1444;0.0090;0.2000;0.2535;0.0651;0;0;1
0.0008;0.2815;0.0844;0.0529;0.0444;0.0072;0.0693;0.0243;0.0064;0;1;0
0.0309;0.4773;0.0231;0.0856;0.1444;0.0048;0.5147;0.3773;0.0323;0;1;1
0.0335;0.6119;0.0313;0.0000;1.0000;0.0000;0.9120;0.0000;0.0000;0;1;1
0.0700;0.5979;0.1550;0.1201;0.0667;0.0060;0.5947;0.4929;0.0617;1;0;0
0.0013;0.3059;0.1125;0.0578;0.0222;0.0042;0.0613;0.0172;0.0015;0;1;0
0.0003;0.8217;0.0106;0.0305;0.0128;0.0024;0.1867;0.0740;0.0152;0;0;0
0.0074;0.5070;0.4313;0.3002;0.0778;0.0060;0.1813;0.1968;0.0218;0;0;1
0.0004;0.1503;0.0669;0.0175;0.0094;0.0018;0.0496;0.0079;0.0152;0;0;1
0.0500;0.4878;0.0644;0.0896;0.0333;0.0072;0.6587;0.4888;0.0498;1;0;0
0.0522;0.4983;0.1631;0.0806;0.0283;0.0066;0.1040;0.0385;0.0655;0;0;1
0.0007;0.3028;0.0259;0.0287;0.0100;0.0030;0.0168;0.0096;0.0153;0;0;1
0.0029;0.1364;0.0763;0.0220;0.0139;0.0042;0.0507;0.0481;0.0021;0;0;1
0.0246;0.1521;0.0813;0.0542;0.1944;0.0096;0.7280;0.0000;0.0336;0;0;0
0.0007;0.2360;0.0313;0.0323;0.0278;0.0030;0.0373;0.0020;0.0006;0;1;0
0.0478;0.5944;0.0375;0.1478;0.0611;0.0138;0.6693;0.3996;0.0723;1;0;0
0.0500;0.3427;0.0603;0.1237;0.0667;0.0060;0.5467;0.6146;0.0683;1;0;0
0.0006;0.1381;0.0438;0.0417;0.0444;0.0084;0.0315;0.0223;0.0034;0;1;0
0.0062;0.1976;0.0519;0.1366;0.0667;0.0072;0.2933;0.1592;0.0068;0;0;0
0.0004;0.3217;0.0688;0.0515;0.0167;0.0036;0.0453;0.0122;0.0010;0;1;0
0.0409;0.6364;0.0478;0.1389;0.0389;0.0078;0.6133;0.4341;0.0532;1;0;0
0.0652;0.5122;0.3656;0.2599;0.1389;0.0569;0.6400;0.7809;0.0609;1;0;0
0.0591;0.5594;0.2075;0.1335;0.0722;0.0030;0.7600;0.4767;0.0400;1;0;0
0.0003;0.3706;0.0988;0.0475;0.0239;0.0066;0.0792;0.0256;0.0099;0;1;0
0.0000;0.5332;0.0881;0.2823;0.1778;0.0389;0.6720;0.2961;0.0000;0;0;0
0.0152;0.3199;0.0813;0.4346;0.0944;0.0389;0.5787;0.2799;0.0183;0;0;0
0.0012;0.5402;0.1219;0.0426;0.0344;0.0048;0.0747;0.0201;0.0165;0;0;1
0.0017;0.2185;0.0375;0.0403;0.0167;0.0078;0.0400;0.0126;0.0010;0;1;0
0.0026;0.2483;0.1813;0.0457;0.0222;0.0156;0.0520;0.0207;0.0022;0;1;0
0.0809;0.4773;0.6344;0.1631;0.0722;0.0120;0.5307;0.0446;0.0409;1;0;0
0.0022;0.2552;0.5844;0.0941;0.0778;0.0102;0.2720;0.1785;0.0179;0;0;0
0.0000;0.0000;0.0281;0.0000;0.3778;0.0000;0.5573;0.0000;0.0000;0;1;1
0.0196;0.2238;0.0478;0.2733;0.1000;0.0078;0.1547;0.0120;0.0247;0;0;0
